n,h_a,h_b,method,reps,limit_coverage,limit_mcse,limit_reps,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd
300,0.25,0.5,emp,50000,0.997979,4.4910083043789295e-05,1000000,0.99764,0.0002169990967723151,0,0.99764,-1.1234272812453463,-0.13504781012197942,1.068781924426194,0.006362027031190117,0.003774142510791666,0.006875553066174526,0.6431250959901385
300,0.25,0.5,G,50000,0.997979,4.4910083043789295e-05,1000000,0.99778,0.00021047905358966243,0,0.99778,-1.111264889481833,-0.13395987408634868,1.0570919993411854,0.006009238289094507,0.003751184856853637,0.007139609819229382,0.6328002396008181
300,0.25,1.0,emp,50000,0.994688,7.268963238316716e-05,1000000,0.99412,0.00034191886756948633,0,0.99412,-1.3146270795005874,-0.17530650385051502,1.1837634232186958,0.007710022495794049,0.0036250392065587,0.0073144861298267295,0.7655506520699443
300,0.25,1.0,G,50000,0.994688,7.268963238316716e-05,1000000,0.9944,0.0003337256358148127,0,0.9944,-1.2930279844419275,-0.17375154191663855,1.1677352752224508,0.007171155174787223,0.003629847036726353,0.00674508634562637,0.757789019529937
300,0.25,2.0,emp,50000,0.991927,8.948646082508793e-05,1000000,0.98982,0.00044891797914541065,0,0.98982,-1.574283923324747,-0.10906149030147583,1.3987642753751255,0.008655774996278407,0.005645777288794195,0.0076552447133556595,0.8632612766886072
300,0.25,2.0,G,50000,0.991927,8.948646082508793e-05,1000000,0.99108,0.0004204862328305182,0,0.99108,-1.5582310594516318,-0.10857564731077499,1.3867013077250288,0.008305917447762054,0.005546852970933229,0.007578154021280215,0.8533395080170207
300,0.25,3.0,emp,50000,0.987001,0.00011326970468311456,1000000,0.98426,0.0005566372678863674,0,0.98426,-1.7035553924803306,-0.047672303161325986,1.5775887376152444,0.008055246459855298,0.005379076397099896,0.008543144626153769,0.8873457858307475
300,0.25,3.0,G,50000,0.987001,0.00011326970468311456,1000000,0.98606,0.0005243219697857405,0,0.98606,-1.6830237423880383,-0.04704056997981673,1.5626805849365846,0.007232378986710445,0.005321153938841356,0.00817871268007484,0.8789192768733058
300,0.25,4.0,emp,50000,0.976615,0.00015112293596605377,1000000,0.9736,0.0007169803344583445,0,0.9736,-1.8209250908397165,-0.024015311144448673,1.704913582991328,0.00925513276524648,0.0055412324994171544,0.008897079818636392,0.9288685049699491
300,0.25,4.0,G,50000,0.976615,0.00015112293596605377,1000000,0.97594,0.000685289959068422,0,0.97594,-1.7997447197338812,-0.023840798141624625,1.6878788418089212,0.008943006787536744,0.005450252343929889,0.00898995730485688,0.9200145007965018
300,0.25,6.0,emp,50000,0.962156,0.0001908188451490051,1000000,0.9592,0.0008847074092602588,0,0.9592,-1.924386043503617,-0.012889312274022654,1.8382639164778942,0.012310072962346302,0.005505313146274619,0.011610534104179077,0.9708497338756785
300,0.25,6.0,G,50000,0.962156,0.0001908188451490051,1000000,0.96136,0.0008619390976165312,0,0.96136,-1.9076672721627332,-0.012758707081533184,1.8213030437762472,0.010630260887045804,0.005445119486444104,0.010914832881997114,0.9613294038162207
